algorithm,scenario,multiplicador,required_blocks,assigned_blocks,coverage_rate,unassigned_blocks,unplaced_assignments,status,runtime_seconds,teacher_conflicts,group_conflicts,availability_violations,workload_violations,greedy_restarts_used,best_restart,solver_conflicts,solver_branches,same_instance_verified,instance_fingerprint,source,observation
CP-SAT,x1,1,175,175,1.0,0,0,OPTIMAL,1.109,0,0,0,0,,,675,40796,True,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x1.log,Resultado CP-SAT existente; solver no reejecutado
Greedy,x1,1,175,175,1.0,0,0,COMPLETE,0.0729369,0,0,0,0,0,0,,,True,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,baseline_greedy.py::solve_greedy,Greedy constructivo completo; mismas restricciones principales verificadas
CP-SAT,x2,2,350,350,1.0,0,0,OPTIMAL,2.735,0,0,0,0,,,4741,99969,True,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x2.log,Resultado CP-SAT existente; solver no reejecutado
Greedy,x2,2,350,350,1.0,0,0,COMPLETE,0.1342298,0,0,0,0,0,0,,,True,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,baseline_greedy.py::solve_greedy,Greedy constructivo completo; mismas restricciones principales verificadas
CP-SAT,x5,5,875,875,1.0,0,0,OPTIMAL,35.458,0,0,0,0,,,168371,1010294,True,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x5.log,Resultado CP-SAT existente; solver no reejecutado
Greedy,x5,5,875,875,1.0,0,0,COMPLETE,0.345942,0,0,0,0,0,0,,,True,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,baseline_greedy.py::solve_greedy,Greedy constructivo completo; mismas restricciones principales verificadas
CP-SAT,x10,10,1750,1750,1.0,0,0,OPTIMAL,59.978,0,0,0,0,,,321328,2069382,True,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x10.log,Resultado CP-SAT existente; solver no reejecutado
Greedy,x10,10,1750,1750,1.0,0,0,COMPLETE,0.6228716,0,0,0,0,0,0,,,True,915bb297897451baeef4eb5b33fcb8cf31be3201416ab28d4a5ee17145c083f5,baseline_greedy.py::solve_greedy,Greedy constructivo completo; mismas restricciones principales verificadas
CP-SAT,x20,20,3500,3500,1.0,0,0,OPTIMAL,761.306,0,0,0,0,,,4654100,23361732,True,64b70d7e602522a1a43bef5ad079c314064ce203b2a969e12c64626b4427692a,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x20.log,Resultado CP-SAT existente; solver no reejecutado
Greedy,x20,20,3500,3500,1.0,0,0,COMPLETE,1.1722645,0,0,0,0,0,0,,,True,64b70d7e602522a1a43bef5ad079c314064ce203b2a969e12c64626b4427692a,baseline_greedy.py::solve_greedy,Greedy constructivo completo; mismas restricciones principales verificadas
CP-SAT,x30,30,5250,5250,1.0,0,0,OPTIMAL,6186.814176,0,0,0,0,,,27208119,168722677,True,99a069b089eab66c31fef30b7a086796128f2762402c1fd45cbf39f6e342c7cd,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\stress_cp_sat_x30.json,Resultado CP-SAT existente; solver no reejecutado
Greedy,x30,30,5250,5250,1.0,0,0,COMPLETE,1.7350441,0,0,0,0,0,0,,,True,99a069b089eab66c31fef30b7a086796128f2762402c1fd45cbf39f6e342c7cd,baseline_greedy.py::solve_greedy,Greedy constructivo completo; mismas restricciones principales verificadas
