instance_type,scenario,algorithm,runs,required_blocks,mean_assigned_blocks,mean_coverage,sd_coverage,min_coverage,max_coverage,mean_runtime,sd_runtime,min_runtime,max_runtime,mean_solver_conflicts,sd_solver_conflicts,mean_solver_branches,sd_solver_branches,complete_runs,partial_runs,optimal_runs,feasible_runs,failed_runs
synthetic,x1,CP-SAT,10,175,175.0,1.0,0.0,1.0,1.0,1.50244,0.11699252524936038,1.335693,1.712911,723.0,59.38574464184706,41211.4,548.3290172069239,10,0,10,0,0
synthetic,x1,Greedy,10,175,175.0,1.0,0.0,1.0,1.0,0.061590469999999994,0.0040566732580198436,0.0582757,0.0714664,,,,,10,0,0,0,0
synthetic,x10,CP-SAT,10,1750,1750.0,1.0,0.0,1.0,1.0,249.5916904,131.407684158311,107.754286,423.329205,716691.7,609837.6495800702,7308766.2,4897004.782557618,10,0,10,0,0
synthetic,x10,Greedy,10,1750,1750.0,1.0,0.0,1.0,1.0,0.69809798,0.026835534590406218,0.6638333,0.7568982,,,,,10,0,0,0,0
synthetic,x2,CP-SAT,10,350,350.0,1.0,0.0,1.0,1.0,6.4113947,1.4525260789660388,4.522737,9.872385,8222.7,3726.8373261460656,210400.7,67015.18823877,10,0,10,0,0
synthetic,x2,Greedy,10,350,350.0,1.0,0.0,1.0,1.0,0.14021129999999998,0.017807465509037366,0.1224624,0.1803686,,,,,10,0,0,0,0
synthetic,x5,CP-SAT,10,875,875.0,1.0,0.0,1.0,1.0,40.456008100000005,23.474095727100067,18.264801,80.155213,98872.8,61729.13427727803,1190612.8,914243.8684851117,10,0,10,0,0
synthetic,x5,Greedy,10,875,875.0,1.0,0.0,1.0,1.0,0.37538267,0.060876592368076896,0.3346412,0.5289957,,,,,10,0,0,0,0
web-real,web-real,CP-SAT,10,175,175.0,1.0,0.0,1.0,1.0,3.3437936,1.1257728440224914,1.837247,4.920928,13361.9,5548.647752180505,90965.3,35320.815430532995,10,0,10,0,0
web-real,web-real,Greedy,10,175,165.0,0.9428571429,0.007126966629172151,0.931428571,0.954285714,4.1277696200000005,0.2389892107000917,3.7066678,4.543123,,,,,0,10,0,0,0
