algorithm,multiplicador,secciones_generadas,grupos_calculados,docentes_calculados,cursos_catalogo,asignaciones_calculadas,bloques_esperados_teoricos,bloques_requeridos,bloques_asignados,coverage_rate,status,tiempo_segundos,conflictos_docente,conflictos_grupo,violaciones_disponibilidad,violaciones_carga,solver_conflicts,solver_branches,solucion_completa,estructura_valida,seed,restarts_usados,source,observacion
CP-SAT,1,1,5,8,10,50,175,175,175,1.0,OPTIMAL,1.109,0,0,0,0,675,40796,True,True,,,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x1.log,Metricas CP-SAT cargadas de resultado existente
Greedy,1,1,5,8,10,50,175,175,175,1.0,COMPLETE,0.0092562,0,0,0,0,,,True,True,20260717,0,baseline_compare.py::ejecutar_greedy,Greedy constructivo completo y sin conflictos
CP-SAT,2,2,10,16,10,100,350,350,350,1.0,OPTIMAL,2.735,0,0,0,0,4741,99969,True,True,,,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x2.log,Metricas CP-SAT cargadas de resultado existente
Greedy,2,2,10,16,10,100,350,350,350,1.0,COMPLETE,0.019621,0,0,0,0,,,True,True,20260717,0,baseline_compare.py::ejecutar_greedy,Greedy constructivo completo y sin conflictos
CP-SAT,5,5,25,40,10,250,875,875,875,1.0,OPTIMAL,35.458,0,0,0,0,168371,1010294,True,True,,,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x5.log,Metricas CP-SAT cargadas de resultado existente
Greedy,5,5,25,40,10,250,875,875,875,1.0,COMPLETE,0.0479297,0,0,0,0,,,True,True,20260717,0,baseline_compare.py::ejecutar_greedy,Greedy constructivo completo y sin conflictos
CP-SAT,10,10,50,80,10,500,1750,1750,1750,1.0,OPTIMAL,59.978,0,0,0,0,321328,2069382,True,True,,,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x10.log,Metricas CP-SAT cargadas de resultado existente
Greedy,10,10,50,80,10,500,1750,1750,1750,1.0,COMPLETE,0.0972546,0,0,0,0,,,True,True,20260717,0,baseline_compare.py::ejecutar_greedy,Greedy constructivo completo y sin conflictos
CP-SAT,20,20,100,160,10,1000,3500,3500,3500,1.0,OPTIMAL,761.306,0,0,0,0,4654100,23361732,True,True,,,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\logs\stress_x20.log,Metricas CP-SAT cargadas de resultado existente
Greedy,20,20,100,160,10,1000,3500,3500,3500,1.0,COMPLETE,0.1955858,0,0,0,0,,,True,True,20260717,0,baseline_compare.py::ejecutar_greedy,Greedy constructivo completo y sin conflictos
CP-SAT,30,30,150,240,10,1500,5250,5250,5250,1.0,OPTIMAL,6186.814176,0,0,0,0,27208119,168722677,True,True,,,D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\stress_cp_sat_x30.json,Optimal solution found without explicit time limit
Greedy,30,30,150,240,10,1500,5250,5250,5250,1.0,COMPLETE,0.2941402,0,0,0,0,,,True,True,20260717,0,baseline_compare.py::ejecutar_greedy,Greedy constructivo completo y sin conflictos
