instance_type,scenario,run_id,seed,algorithm,required_blocks,assigned_blocks,coverage_rate,unassigned_blocks,status,runtime_seconds,teacher_conflicts,group_conflicts,availability_violations,workload_violations,solver_conflicts,solver_branches,workers,time_limit_seconds,instance_hash_sha256,observation
synthetic,x1,1,1,CP-SAT,175,175,1.0,0,OPTIMAL,1.335693,0,0,0,0,677,40787,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=1; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run1_cpsat.log
synthetic,x1,1,1,Greedy,175,175,1.0,0,COMPLETE,0.0592819,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,2,2,CP-SAT,175,175,1.0,0,OPTIMAL,1.454299,0,0,0,0,792,41849,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=2; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run2_cpsat.log
synthetic,x1,2,2,Greedy,175,175,1.0,0,COMPLETE,0.05847,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,3,3,CP-SAT,175,175,1.0,0,OPTIMAL,1.558877,0,0,0,0,677,40787,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=3; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run3_cpsat.log
synthetic,x1,3,3,Greedy,175,175,1.0,0,COMPLETE,0.0627591,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,4,4,CP-SAT,175,175,1.0,0,OPTIMAL,1.639608,0,0,0,0,677,40787,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=4; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run4_cpsat.log
synthetic,x1,4,4,Greedy,175,175,1.0,0,COMPLETE,0.0597077,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,5,5,CP-SAT,175,175,1.0,0,OPTIMAL,1.481058,0,0,0,0,677,40785,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=5; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run5_cpsat.log
synthetic,x1,5,5,Greedy,175,175,1.0,0,COMPLETE,0.0607785,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,6,6,CP-SAT,175,175,1.0,0,OPTIMAL,1.568989,0,0,0,0,792,41849,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=6; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run6_cpsat.log
synthetic,x1,6,6,Greedy,175,175,1.0,0,COMPLETE,0.061206,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,7,7,CP-SAT,175,175,1.0,0,OPTIMAL,1.407352,0,0,0,0,677,40787,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=7; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run7_cpsat.log
synthetic,x1,7,7,Greedy,175,175,1.0,0,COMPLETE,0.0589383,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,8,8,CP-SAT,175,175,1.0,0,OPTIMAL,1.393186,0,0,0,0,677,40787,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=8; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run8_cpsat.log
synthetic,x1,8,8,Greedy,175,175,1.0,0,COMPLETE,0.0650211,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x1,9,9,CP-SAT,175,175,1.0,0,OPTIMAL,1.712911,0,0,0,0,792,41847,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=9; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run9_cpsat.log
synthetic,x1,9,9,Greedy,175,175,1.0,0,COMPLETE,0.0714664,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
